Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
1.12E-07	-0.469109848	-1.72E-07	-0.406067752
-8.01E-08	-0.469110077	1.27E-07	-0.406068214
1.53E-07	-0.469110796	5.56E-08	-0.406068365
-1.14E-07	-0.46911109	2.31E-08	-0.406068433
-1.45E-07	-0.469111824	4.06E-08	-0.406068588
1.05E-07	-0.469112117	-2.79E-08	-0.406068705
3.10E-07	-0.469113255	5.54E-08	-0.406068919
-2.54E-07	-0.469113717	4.05E-07	-0.406069833
-3.68E-07	-0.469115472	-3.41E-07	-0.406070714
2.96E-07	-0.469116048	-3.42E-07	-0.40607233
3.27E-07	-0.469117828	2.87E-07	-0.406073086
-2.63E-07	-0.46911834	1.38E-07	-0.4060734
-3.13E-07	-0.469119981	3.82E-07	-0.406074691
2.42E-07	-0.469120532	-3.12E-07	-0.406075576
2.45E-07	-0.469121929	-3.32E-07	-0.406077104
-1.93E-07	-0.469122338	2.70E-07	-0.406077877
-2.25E-07	-0.46912353	2.71E-07	-0.406079158
1.78E-07	-0.469123902	-2.07E-07	-0.406079853
8.02E-08	-0.469124208	-9.45E-08	-0.406080091
1.15E-07	-0.46912476	-3.08E-07	-0.406081097
-8.27E-08	-0.469124994	2.43E-07	-0.406081854
1.57E-07	-0.469125736	3.63E-07	-0.406083318
-1.17E-07	-0.469126035	-2.82E-07	-0.406084232
-1.48E-07	-0.469126787	-2.83E-07	-0.406085569
1.07E-07	-0.469127085	2.24E-07	-0.406086261
4.57E-08	-0.469127276	2.58E-07	-0.40608741
7.03E-08	-0.469127603	-2.05E-07	-0.406088037
-4.90E-08	-0.469127753	-2.82E-07	-0.406089209
-7.85E-08	-0.469128112	2.19E-07	-0.406089921
5.44E-08	-0.469128281	2.38E-07	-0.406091006
2.24E-08	-0.469128381	-1.90E-07	-0.40609158
3.94E-08	-0.469128554	-2.14E-07	-0.406092542
-2.68E-08	-0.469128641	1.63E-07	-0.406093095
-1.09E-08	-0.469128691	2.09E-07	-0.406093986
-3.67E-07	-0.469129686	-1.61E-07	-0.406094518
2.94E-07	-0.469130271	-3.18E-07	-0.406095691
1.43E-07	-0.469130744	2.49E-07	-0.406096485
6.29E-08	-0.469130993	1.17E-07	-0.406096765
9.49E-08	-0.469131438	2.94E-07	-0.40609778
-6.74E-08	-0.469131635	-2.31E-07	-0.406098507
1.30E-07	-0.469132238	-2.49E-07	-0.406099647
-9.56E-08	-0.469132494	1.86E-07	-0.406100307
-3.48E-07	-0.469133703	2.07E-07	-0.406101242
2.75E-07	-0.469134279	-1.58E-07	-0.406101774
1.31E-07	-0.469134729	-2.01E-07	-0.406102633
5.68E-08	-0.469134959	1.55E-07	-0.406103142
8.83E-08	-0.469135368	2.97E-07	-0.406104245
-6.23E-08	-0.469135553	-2.32E-07	-0.406104985
