Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-2.000000467	-2.331122536	1.999978129	-2.402411272
-2.000002189	-2.331123356	1.999986419	-2.402416223
-2.000005633	-2.331124997	1.999991946	-2.402419523
-2.00001252	-2.331128279	1.999995631	-2.402421724
-2.000026294	-2.331134843	1.999998087	-2.402423191
-2.000053844	-2.331147971	2.000000275	-2.402424323
-2.000935059	-2.331567802	2.000001362	-2.402425146
-2.007964546	-2.334910045	2.000027563	-2.402440793
-2.03581257	-2.348028963	2.000079964	-2.402472086
-2.063756622	-2.360988787	2.000289551	-2.402597242
-2.091773235	-2.37376339	2.001965041	-2.403597469
-2.119882074	-2.386330243	2.005313642	-2.405594882
-2.148115472	-2.398706811	2.031780737	-2.421303996
-2.176411235	-2.410891369	2.05829976	-2.436898124
-2.204779415	-2.422881308	2.084898831	-2.45238366
-2.233253511	-2.434675603	2.111559269	-2.467738771
-2.261810196	-2.446265519	2.138284884	-2.482974013
-2.290443532	-2.457673053	2.16509382	-2.498127969
-2.319165969	-2.468912148	2.191957091	-2.51317548
-2.34795522	-2.479958853	2.218881446	-2.52808801
-2.376804486	-2.490798493	2.245900406	-2.542870597
-2.405752138	-2.501465674	2.272993939	-2.557533287
-2.434761659	-2.511956607	2.300136025	-2.572087617
-2.463832997	-2.522248134	2.327352701	-2.586543352
-2.492986858	-2.53233298	2.354620472	-2.600877157
-2.522226733	-2.542223757	2.381937072	-2.615086495
-2.551525119	-2.551931845	2.409339603	-2.629208045
-2.580875164	-2.561451598	2.436790482	-2.643220289
-2.610294805	-2.570774966	2.464294279	-2.657103305
-2.639779487	-2.57990268	2.491879397	-2.670860604
-2.669327972	-2.588853887	2.519532226	-2.684497432
-2.698941331	-2.597631183	2.547233465	-2.698026424
-2.728603756	-2.606215561	2.57500005	-2.711454924
-2.758308758	-2.614603176	2.60281501	-2.724763322
-2.788092446	-2.622821341	2.630673381	-2.737946549
-2.817917998	-2.630863336	2.658609119	-2.751038713
-2.847787647	-2.638711714	2.686589626	-2.764023897
