 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
3.88E-08	-0.465295256	3.35E-07	-0.423960315
-2.65E-08	-0.465295344	3.39E-07	-0.423962005
-1.08E-08	-0.465295392	-2.82E-07	-0.423962683
-1.98E-08	-0.465295477	-1.35E-07	-0.423963036
1.34E-08	-0.465295522	-1.70E-07	-0.423963805
2.48E-08	-0.465295628	1.26E-07	-0.423964224
-1.68E-08	-0.465295684	-2.25E-07	-0.423965249
-6.77E-09	-0.465295715	1.73E-07	-0.42396577
-1.29E-08	-0.465295769	1.97E-07	-0.423966702
8.68E-09	-0.465295799	-1.45E-07	-0.423967188
3.39E-07	-0.465296714	-6.35E-08	-0.423967385
-2.83E-07	-0.465297203	-2.64E-08	-0.423967474
-3.38E-07	-0.465298954	5.25E-08	-0.423967685
2.71E-07	-0.465299509	3.52E-07	-0.423968468
3.03E-07	-0.46530113	-2.97E-07	-0.423969147
-2.43E-07	-0.465301626	-3.09E-07	-0.423970668
-3.04E-07	-0.465303164	2.46E-07	-0.423971345
2.35E-07	-0.46530371	2.79E-07	-0.423972665
2.37E-07	-0.465305048	-2.23E-07	-0.423973273
-1.87E-07	-0.465305455	-2.31E-07	-0.42397441
-2.18E-07	-0.465306596	1.74E-07	-0.423974963
1.72E-07	-0.465306965	7.79E-08	-0.423975194
2.47E-07	-0.465308139	1.05E-07	-0.423975657
-1.92E-07	-0.465308579	-7.52E-08	-0.423975928
-2.14E-07	-0.465309726	-1.10E-07	-0.423976396
1.58E-07	-0.465310147	7.73E-08	-0.423976684
6.95E-08	-0.465310419	3.23E-08	-0.423976792
2.90E-08	-0.465310543	5.39E-08	-0.42397701
-5.75E-08	-0.465310794	-3.71E-08	-0.423977155
-3.69E-07	-0.465311609	-1.52E-08	-0.423977208
3.12E-07	-0.465312114	-2.73E-08	-0.423977316
3.12E-07	-0.465313885	1.86E-08	-0.42397739
-2.48E-07	-0.465314411	7.52E-09	-0.423977416
-2.83E-07	-0.465315911	3.02E-09	-0.423977427
2.26E-07	-0.465316384	1.21E-09	-0.423977432
3.04E-07	-0.465317872	2.40E-09	-0.423977441
-2.36E-07	-0.465318417	-1.60E-09	-0.423977447
-2.58E-07	-0.465319814	-6.43E-10	-0.42397745
2.06E-07	-0.465320242	-1.28E-09	-0.423977455
2.32E-07	-0.46532148	8.53E-10	-0.423977458
